amostra;controle;a260_1;a260_a280_1;a260_2;a260_a280_2;extracao;pcr_sch111;qpcr_sch111;pcr_sch121;qpcr_sch121;a260_media;a260_a280_media
CP.1;positivo;333,4;1,91;298,6;1,94;DNAZol;;;;;316,0;1,925
CP.2;positivo;106,9;1,98;102,6;2,01;DNAZol;;;;;104,8;1,995
CP.3;positivo;246;1,92;243,1;1,91;DNAZol;;;;;244,6;1,915
CP.4;positivo;34,7;2,43;34;2,46;DNAZol;;;;;34,4;2,445
CP.5;positivo;385,3;1,98;412,9;2,02;DNAZol;;;;;399,1;2
CP.6;positivo;61,4;1,96;61,1;1,96;DNAZol;;;;;61,3;1,96
CP.7;positivo;52,6;2,1;52,9;2,09;DNAZol;;;;;52,8;2,095
CP.8;positivo;247,6;1,96;249,6;1,96;DNAZol;;;;;248,6;1,96
CP.9;positivo;202,4;1,88;209,6;1,86;DNAZol;;;;;206,0;1,87
CP.10;positivo;200,4;1,96;205,1;1,98;DNAZol;;;;;202,8;1,97
CP.11;positivo;605;1,91;624,4;1,91;DNAZol;;;;;614,7;1,91
CP.12;positivo;6,6;3,12;6,8;2,97;DNAZol;;;;;6,7;3,045
CP.13;positivo;51,7;1,98;63,7;1,85;DNAZol;;;;;57,7;1,915
CP.14;positivo;18,4;2,47;NA;NA;DNAZol;;;;;18,4;2,47
CP.15;positivo;54;2,08;60,4;2,05;DNAZol;;;;;57,2;2,065
CP.16;positivo;14,1;2,5;14,2;2,48;DNAZol;;;;;14,2;2,49
CP.17;positivo;4,2;3,33;4,4;3,2;DNAZol;;;;;4,3;3,265
CP.18;positivo;3,3;3,7;3,6;3,47;DNAZol;;;;;3,5;3,585
CP.19;positivo;9,4;2,62;9,6;2,6;DNAZol;;;;;9,5;2,61
CP.20;positivo;127,2;2,02;131,5;2,02;DNAZol;;;;;129,4;2,02
CP.21;positivo;14,3;2,3;15;2,26;DNAZol;;;;;14,7;2,28
CP.22;positivo;772,5;1,86;774,9;1,86;DNAZol;;;;;773,7;1,86
CP.23;positivo;98,2;2,01;105,5;2,01;DNAZol;;;;;101,9;2,01
CP.24;positivo;30,5;2,25;31,2;2,25;DNAZol;;;;;30,9;2,25
CP.25;positivo;58,2;2,16;60,8;2,15;DNAZol;;;;;59,5;2,155
CP.26;positivo;37,3;2,17;36,4;2,18;DNAZol;;;;;36,9;2,175
