id,sexo,idade,nat1,cor,escolaridade
1.1,1,85,,,
1.2,2,,,,
26.1,1,59,2,2,4
26.2,2,57,2,2,0
31.1,1,73,2,2,1
32.1,1,67,2,2,1
32.2,2,55,1,3,2
34.1,1,55,2,2,4
34.2,1,34,2,3,4
34.3,1,28,2,2,4
34.4,1,34,2,3,4
52.1,1,57,2,2,2
100.1,1,53,2,2,7
100.2,1,,,,
101.1,2,61,2,3,4
102.1,1,50,2,1,1
103.1,1,69,2,3,0
104.1,1,63,2,2,1
104.2,1,64,2,2,1
104.3,1,73,2,2,0
105.1,2,53,1,3,1
105.2,1,56,2,3,0
107.1,1,25,2,2,2
107.2,1,31,2,2,2
107.3,1,59,2,3,1
107.4,1,46,2,2,1
107.5,1,30,1,3,1
107.6,1,38,2,1,2
107.7,1,27,2,3,2
107.8,1,25,2,2,1
107.9,1,20,2,3,4
